NAMESPACE       LAST SEEN   TYPE      REASON              OBJECT                                                            MESSAGE
observability   31m         Normal    Pulled              pod/obs-kube-state-metrics-5f4cc9b856-qkxb8                       Successfully pulled image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.18.0" in 2.826s (5.584s including waiting). Image size: 60605075 bytes.
observability   31m         Normal    Created             pod/obs-kube-state-metrics-5f4cc9b856-qkxb8                       Container created
observability   31m         Normal    Started             pod/obs-kube-state-metrics-5f4cc9b856-qkxb8                       Container started
observability   31m         Normal    Pulling             pod/obs-grafana-b884768db-pgqmm                                   Pulling image "docker.io/grafana/grafana:12.4.0"
observability   31m         Normal    Pulled              pod/obs-grafana-b884768db-pgqmm                                   Successfully pulled image "quay.io/kiwigrid/k8s-sidecar:2.5.0" in 4.166s (9.719s including waiting). Image size: 84687867 bytes.
observability   31m         Normal    Created             pod/obs-grafana-b884768db-pgqmm                                   Container created
observability   31m         Normal    Started             pod/obs-grafana-b884768db-pgqmm                                   Container started
observability   31m         Normal    Pulled              pod/obs-grafana-b884768db-pgqmm                                   Container image "quay.io/kiwigrid/k8s-sidecar:2.5.0" already present on machine and can be accessed by the pod
observability   31m         Normal    Created             pod/obs-grafana-b884768db-pgqmm                                   Container created
observability   31m         Normal    Started             pod/obs-grafana-b884768db-pgqmm                                   Container started
observability   31m         Normal    Pulled              pod/obs-kube-prometheus-stack-operator-564779d846-c9tbp           Successfully pulled image "quay.io/prometheus-operator/prometheus-operator:v0.89.0" in 3.046s (12.751s including waiting). Image size: 68140441 bytes.
observability   31m         Normal    Created             pod/obs-kube-prometheus-stack-operator-564779d846-c9tbp           Container created
observability   31m         Normal    Started             pod/obs-kube-prometheus-stack-operator-564779d846-c9tbp           Container started
observability   31m         Normal    Pulling             pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0"
observability   31m         Normal    SuccessfulCreate    statefulset/prometheus-obs-kube-prometheus-stack-prometheus       Create Pod prometheus-obs-kube-prometheus-stack-prometheus-0 in StatefulSet prometheus-obs-kube-prometheus-stack-prometheus successful
observability   31m         Normal    Scheduled           pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Successfully assigned observability/prometheus-obs-kube-prometheus-stack-prometheus-0 to minikube
observability   31m         Normal    Pulling             pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0"
observability   31m         Normal    SuccessfulCreate    statefulset/alertmanager-obs-kube-prometheus-stack-alertmanager   Create Pod alertmanager-obs-kube-prometheus-stack-alertmanager-0 in StatefulSet alertmanager-obs-kube-prometheus-stack-alertmanager successful
observability   31m         Normal    Scheduled           pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Successfully assigned observability/alertmanager-obs-kube-prometheus-stack-alertmanager-0 to minikube
observability   31m         Normal    Pulled              pod/obs-grafana-b884768db-pgqmm                                   Successfully pulled image "docker.io/grafana/grafana:12.4.0" in 19.371s (22.173s including waiting). Image size: 714446608 bytes.
observability   31m         Normal    Created             pod/obs-grafana-b884768db-pgqmm                                   Container created
observability   31m         Normal    Started             pod/obs-grafana-b884768db-pgqmm                                   Container started
observability   31m         Warning   Unhealthy           pod/obs-grafana-b884768db-pgqmm                                   Readiness probe failed: Get "http://10.244.0.11:3000/api/health": dial tcp 10.244.0.11:3000: connect: connection refused
observability   31m         Normal    Created             pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Container created
observability   31m         Normal    Pulling             pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Pulling image "quay.io/prometheus/alertmanager:v0.31.1"
observability   31m         Normal    Pulled              pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Successfully pulled image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0" in 3.089s (21.473s including waiting). Image size: 43171225 bytes.
observability   31m         Normal    Started             pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Container started
observability   31m         Normal    Created             pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Container created
observability   31m         Normal    Started             pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Container started
observability   31m         Normal    Pulling             pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Pulling image "quay.io/prometheus/prometheus:v3.10.0"
observability   31m         Normal    Pulled              pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Successfully pulled image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0" in 944ms (22.224s including waiting). Image size: 43171225 bytes.
observability   31m         Normal    Pulled              pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Successfully pulled image "quay.io/prometheus/alertmanager:v0.31.1" in 4.176s (4.717s including waiting). Image size: 74339813 bytes.
observability   31m         Normal    Created             pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Container created
observability   31m         Normal    Pulled              pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0" already present on machine and can be accessed by the pod
observability   31m         Normal    Started             pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Container started
observability   31m         Normal    Started             pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Container started
observability   31m         Normal    Created             pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0         Container created
observability   31m         Normal    Created             pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Container created
observability   31m         Normal    Pulled              pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Successfully pulled image "quay.io/prometheus/prometheus:v3.10.0" in 8.289s (11.981s including waiting). Image size: 359160546 bytes.
observability   31m         Normal    Started             pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Container started
observability   31m         Normal    Started             pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Container started
observability   31m         Normal    Pulled              pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0" already present on machine and can be accessed by the pod
observability   31m         Normal    Created             pod/prometheus-obs-kube-prometheus-stack-prometheus-0             Container created
observability   27m         Normal    ScalingReplicaSet   deployment/otel-collector                                         Scaled up replica set otel-collector-6cbc68cf7f from 0 to 1
observability   27m         Normal    Scheduled           pod/otel-collector-6cbc68cf7f-lbkt6                               Successfully assigned observability/otel-collector-6cbc68cf7f-lbkt6 to minikube
observability   27m         Normal    Created             pod/otel-collector-6cbc68cf7f-lbkt6                               Container created
observability   27m         Normal    Pulled              pod/otel-collector-6cbc68cf7f-lbkt6                               Container image "otel/opentelemetry-collector-contrib:0.95.0" already present on machine and can be accessed by the pod
observability   27m         Normal    SuccessfulCreate    replicaset/otel-collector-6cbc68cf7f                              Created pod: otel-collector-6cbc68cf7f-lbkt6
observability   27m         Normal    Started             pod/otel-collector-6cbc68cf7f-lbkt6                               Container started
observability   27m         Normal    ScalingReplicaSet   deployment/otel-collector                                         Scaled down replica set otel-collector-58c65f774c from 1 to 0
observability   27m         Normal    SuccessfulDelete    replicaset/otel-collector-58c65f774c                              Deleted pod: otel-collector-58c65f774c-9nmhk
observability   27m         Normal    Killing             pod/otel-collector-58c65f774c-9nmhk                               Stopping container otel-collector
mesh-app        27m         Normal    Started             pod/loadgen-exp-172006-j6dmf                                      Container started
mesh-app        27m         Normal    Created             pod/loadgen-exp-172006-j6dmf                                      Container created
mesh-app        27m         Normal    Pulled              pod/loadgen-exp-172006-j6dmf                                      Container image "docker.io/istio/proxyv2:1.27.0" already present on machine and can be accessed by the pod
mesh-app        27m         Normal    SuccessfulCreate    job/loadgen-exp-172006                                            Created pod: loadgen-exp-172006-j6dmf
mesh-app        27m         Normal    Scheduled           pod/loadgen-exp-172006-j6dmf                                      Successfully assigned mesh-app/loadgen-exp-172006-j6dmf to minikube
mesh-app        27m         Normal    Pulled              pod/loadgen-exp-172006-j6dmf                                      Container image "docker.io/istio/proxyv2:1.27.0" already present on machine and can be accessed by the pod
mesh-app        27m         Normal    Created             pod/loadgen-exp-172006-j6dmf                                      Container created
mesh-app        27m         Normal    Started             pod/loadgen-exp-172006-j6dmf                                      Container started
mesh-app        27m         Normal    Pulling             pod/loadgen-exp-172006-j6dmf                                      Pulling image "fortio/fortio:1.63.0"
mesh-app        27m         Normal    Started             pod/loadgen-exp-172006-j6dmf                                      Container started
mesh-app        27m         Normal    Created             pod/loadgen-exp-172006-j6dmf                                      Container created
