NAMESPACE       LAST SEEN   TYPE      REASON              OBJECT                                                      MESSAGE
istio-system    11h         Warning   FailedMount         pod/istio-egressgateway-74b45df455-98fvh                    MountVolume.SetUp failed for volume "kube-api-access-mmpzm" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/istio-system/serviceaccounts/istio-egressgateway-service-account/token": dial tcp 192.168.49.2:8443: i/o timeout
observability   11h         Warning   FailedMount         pod/alertmanager-obs-kube-prometheus-stack-alertmanager-0   MountVolume.SetUp failed for volume "kube-api-access-862cl" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/observability/serviceaccounts/obs-kube-prometheus-stack-alertmanager/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/redis-cart-6899b65948-ctsjt                             MountVolume.SetUp failed for volume "kube-api-access-frrhp" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/default/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/reviews-v2-6dc77b845d-p44wz                             MountVolume.SetUp failed for volume "kube-api-access-ddwn8" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/bookinfo-reviews/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/details-v1-747787f7c4-htsfv                             MountVolume.SetUp failed for volume "kube-api-access-lfj74" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/bookinfo-details/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/adservice-7bb8787db5-bsssn                              MountVolume.SetUp failed for volume "kube-api-access-v9d7m" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/adservice/token": dial tcp 192.168.49.2:8443: i/o timeout
istio-system    11h         Warning   FailedMount         pod/istiod-f75584cf4-r4fsc                                  MountVolume.SetUp failed for volume "kube-api-access-kds5f" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/istio-system/serviceaccounts/istiod/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/productpage-v1-66d788bc7f-9f7qt                         MountVolume.SetUp failed for volume "kube-api-access-wspc2" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/bookinfo-productpage/token": dial tcp 192.168.49.2:8443: i/o timeout
kube-system     11h         Warning   FailedMount         pod/kube-proxy-9xtw6                                        MountVolume.SetUp failed for volume "kube-api-access-sbh9s" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/kube-system/serviceaccounts/kube-proxy/token": dial tcp 192.168.49.2:8443: i/o timeout
ob-app          11h         Warning   FailedMount         pod/loadgenerator-69fdddd69d-2t4t5                          MountVolume.SetUp failed for volume "kube-api-access-vk4j5" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/ob-app/serviceaccounts/loadgenerator/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/loadgenerator-69fdddd69d-vfwpf                          MountVolume.SetUp failed for volume "kube-api-access-gcpwz" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/loadgenerator/token": dial tcp 192.168.49.2:8443: i/o timeout
ob-app          11h         Warning   FailedMount         pod/adservice-7bb8787db5-dpt5p                              MountVolume.SetUp failed for volume "kube-api-access-2t8s7" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/ob-app/serviceaccounts/adservice/token": dial tcp 192.168.49.2:8443: i/o timeout
ob-app          11h         Warning   FailedMount         pod/recommendationservice-6d8ddf5d5f-qkh5d                  MountVolume.SetUp failed for volume "kube-api-access-5zllq" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/ob-app/serviceaccounts/recommendationservice/token": dial tcp 192.168.49.2:8443: i/o timeout
observability   11h         Warning   FailedMount         pod/otel-collector-5cbdc4f9c4-rlz7b                         MountVolume.SetUp failed for volume "kube-api-access-lhnkx" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/observability/serviceaccounts/default/token": dial tcp 192.168.49.2:8443: i/o timeout
istio-system    11h         Warning   FailedMount         pod/istio-ingressgateway-f547fc59c-cp72n                    MountVolume.SetUp failed for volume "kube-api-access-ddq9c" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/istio-system/serviceaccounts/istio-ingressgateway-service-account/token": dial tcp 192.168.49.2:8443: i/o timeout
ob-app          11h         Warning   FailedMount         pod/shippingservice-846f8585d7-hsc26                        MountVolume.SetUp failed for volume "kube-api-access-z5bk6" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/ob-app/serviceaccounts/shippingservice/token": dial tcp 192.168.49.2:8443: i/o timeout
ob-app          11h         Warning   FailedMount         pod/emailservice-58dc4788c5-xjgq9                           MountVolume.SetUp failed for volume "kube-api-access-cnv66" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/ob-app/serviceaccounts/emailservice/token": dial tcp 192.168.49.2:8443: i/o timeout
kube-system     11h         Warning   Unhealthy           pod/kube-apiserver-minikube                                 Readiness probe failed: Get "https://192.168.49.2:8443/readyz": context deadline exceeded
