NAMESPACE       LAST SEEN   TYPE      REASON                 OBJECT                                                    MESSAGE
mesh-app        34m         Normal    Scheduled              pod/loadgen-exp-030848-m594p                              Successfully assigned mesh-app/loadgen-exp-030848-m594p to minikube
mesh-app        34m         Normal    Started                pod/loadgen-exp-030848-m594p                              Container started
mesh-app        34m         Normal    Created                pod/loadgen-exp-030848-m594p                              Container created
mesh-app        34m         Normal    Pulled                 pod/loadgen-exp-030848-m594p                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        34m         Warning   Failed                 pod/loadgen-exp-030848-m594p                              Error: failed to start container "fortio": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "/bin/sh": stat /bin/sh: no such file or directory
mesh-app        34m         Normal    Pulled                 pod/loadgen-exp-030848-m594p                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
mesh-app        34m         Normal    Created                pod/loadgen-exp-030848-m594p                              Container created
mesh-app        34m         Normal    Killing                pod/loadgen-exp-030848-m594p                              Stopping container istio-proxy
mesh-app        34m         Normal    Created                pod/loadgen-exp-030848-h5nln                              Container created
mesh-app        34m         Normal    Scheduled              pod/loadgen-exp-030848-h5nln                              Successfully assigned mesh-app/loadgen-exp-030848-h5nln to minikube
mesh-app        34m         Normal    Started                pod/loadgen-exp-030848-h5nln                              Container started
mesh-app        34m         Normal    Pulled                 pod/loadgen-exp-030848-h5nln                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        34m         Normal    SuccessfulCreate       job/loadgen-exp-030848                                    Created pod: loadgen-exp-030848-h5nln
mesh-app        34m         Normal    Pulled                 pod/loadgen-exp-030848-h5nln                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        34m         Normal    Started                pod/loadgen-exp-030848-h5nln                              Container started
mesh-app        34m         Normal    Created                pod/loadgen-exp-030848-h5nln                              Container created
mesh-app        33m         Normal    Pulled                 pod/loadgen-exp-030848-h5nln                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
mesh-app        33m         Normal    Created                pod/loadgen-exp-030848-h5nln                              Container created
mesh-app        33m         Warning   Failed                 pod/loadgen-exp-030848-h5nln                              Error: failed to start container "fortio": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "/bin/sh": stat /bin/sh: no such file or directory
mesh-app        33m         Normal    Killing                pod/loadgen-exp-030848-h5nln                              Stopping container istio-proxy
mesh-app        33m         Normal    Scheduled              pod/loadgen-exp-030848-2wpjt                              Successfully assigned mesh-app/loadgen-exp-030848-2wpjt to minikube
mesh-app        33m         Normal    Pulled                 pod/loadgen-exp-030848-2wpjt                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        33m         Normal    Created                pod/loadgen-exp-030848-2wpjt                              Container created
mesh-app        33m         Normal    Started                pod/loadgen-exp-030848-2wpjt                              Container started
mesh-app        33m         Normal    SuccessfulCreate       job/loadgen-exp-030848                                    Created pod: loadgen-exp-030848-2wpjt
mesh-app        33m         Normal    Created                pod/loadgen-exp-030848-2wpjt                              Container created
mesh-app        33m         Normal    Started                pod/loadgen-exp-030848-2wpjt                              Container started
mesh-app        33m         Normal    Pulled                 pod/loadgen-exp-030848-2wpjt                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        33m         Normal    Pulled                 pod/loadgen-exp-030848-2wpjt                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
mesh-app        33m         Warning   Failed                 pod/loadgen-exp-030848-2wpjt                              Error: failed to start container "fortio": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "/bin/sh": stat /bin/sh: no such file or directory
mesh-app        33m         Normal    Created                pod/loadgen-exp-030848-2wpjt                              Container created
mesh-app        33m         Normal    Killing                pod/loadgen-exp-030848-2wpjt                              Stopping container istio-proxy
observability   32m         Normal    Started                pod/otel-collector-94959b975-w8p8c                        Container started
observability   32m         Normal    Pulled                 pod/otel-collector-94959b975-w8p8c                        Container image "otel/opentelemetry-collector-contrib:0.95.0" already present on machine and can be accessed by the pod
observability   32m         Normal    Created                pod/otel-collector-94959b975-w8p8c                        Container created
observability   32m         Normal    Scheduled              pod/otel-collector-94959b975-w8p8c                        Successfully assigned observability/otel-collector-94959b975-w8p8c to minikube
observability   32m         Normal    SuccessfulCreate       replicaset/otel-collector-94959b975                       Created pod: otel-collector-94959b975-w8p8c
observability   32m         Normal    ScalingReplicaSet      deployment/otel-collector                                 Scaled up replica set otel-collector-94959b975 from 0 to 1
observability   32m         Normal    SuccessfulDelete       replicaset/otel-collector-6f869fc9d4                      Deleted pod: otel-collector-6f869fc9d4-wn5h4
observability   32m         Normal    Killing                pod/otel-collector-6f869fc9d4-wn5h4                       Stopping container otel-collector
observability   32m         Normal    ScalingReplicaSet      deployment/otel-collector                                 Scaled down replica set otel-collector-6f869fc9d4 from 1 to 0
mesh-app        32m         Normal    Pulled                 pod/loadgen-exp-031113-8c69j                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        32m         Normal    Created                pod/loadgen-exp-031113-8c69j                              Container created
mesh-app        32m         Normal    Started                pod/loadgen-exp-031113-8c69j                              Container started
mesh-app        32m         Normal    Scheduled              pod/loadgen-exp-031113-8c69j                              Successfully assigned mesh-app/loadgen-exp-031113-8c69j to minikube
mesh-app        32m         Normal    SuccessfulCreate       job/loadgen-exp-031113                                    Created pod: loadgen-exp-031113-8c69j
mesh-app        32m         Normal    Pulled                 pod/loadgen-exp-031113-8c69j                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        32m         Normal    Created                pod/loadgen-exp-031113-8c69j                              Container created
mesh-app        32m         Normal    Started                pod/loadgen-exp-031113-8c69j                              Container started
mesh-app        32m         Normal    Pulled                 pod/loadgen-exp-031113-8c69j                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
mesh-app        32m         Normal    Created                pod/loadgen-exp-031113-8c69j                              Container created
mesh-app        32m         Warning   Failed                 pod/loadgen-exp-031113-8c69j                              Error: failed to start container "fortio": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "/bin/sh": stat /bin/sh: no such file or directory
mesh-app        32m         Normal    Killing                pod/loadgen-exp-031113-8c69j                              Stopping container istio-proxy
mesh-app        32m         Normal    Created                pod/loadgen-exp-031113-qm8pz                              Container created
mesh-app        32m         Normal    Scheduled              pod/loadgen-exp-031113-qm8pz                              Successfully assigned mesh-app/loadgen-exp-031113-qm8pz to minikube
mesh-app        32m         Normal    SuccessfulCreate       job/loadgen-exp-031113                                    Created pod: loadgen-exp-031113-qm8pz
mesh-app        32m         Normal    Pulled                 pod/loadgen-exp-031113-qm8pz                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        32m         Normal    Created                pod/loadgen-exp-031113-qm8pz                              Container created
mesh-app        32m         Normal    Started                pod/loadgen-exp-031113-qm8pz                              Container started
mesh-app        32m         Normal    Pulled                 pod/loadgen-exp-031113-qm8pz                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        32m         Normal    Started                pod/loadgen-exp-031113-qm8pz                              Container started
mesh-app        32m         Normal    Pulled                 pod/loadgen-exp-031113-qm8pz                              Container image "fortio/fortio:1.63.0" already present on machine and can be accessed by the pod
mesh-app        32m         Warning   Failed                 pod/loadgen-exp-031113-qm8pz                              Error: failed to start container "fortio": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "/bin/sh": stat /bin/sh: no such file or directory
mesh-app        32m         Normal    Created                pod/loadgen-exp-031113-qm8pz                              Container created
mesh-app        32m         Normal    Killing                pod/loadgen-exp-031113-qm8pz                              Stopping container istio-proxy
mesh-app        31m         Normal    Created                pod/loadgen-exp-030848-gwl4k                              Container created
mesh-app        31m         Normal    SuccessfulCreate       job/loadgen-exp-030848                                    Created pod: loadgen-exp-030848-gwl4k
mesh-app        31m         Normal    Started                pod/loadgen-exp-030848-gwl4k                              Container started
mesh-app        31m         Normal    Pulled                 pod/loadgen-exp-030848-gwl4k                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        31m         Normal    Scheduled              pod/loadgen-exp-030848-gwl4k                              Successfully assigned mesh-app/loadgen-exp-030848-gwl4k to minikube
